Profit,R&D Spend,Administration,Marketing Spend,NY,CA
192261.83,165349.2,136897.8,471784.1,1,0
191792.06,162597.7,151377.59,443898.53,0,1
191050.39,153441.51,101145.55,407934.54,0,0
182901.99,144372.41,118671.85,383199.62,1,0
166187.94,142107.34,91391.77,366168.42,0,0
156991.12,131876.9,99814.71,362861.36,1,0
156122.51,134615.46,147198.87,127716.82,0,1
155752.6,130298.13,145530.06,323876.68,0,0
152211.77,120542.52,148718.95,311613.29,1,0
149759.96,123334.88,108679.17,304981.62,0,1
146121.95,101913.08,110594.11,229160.95,0,0
144259.4,100671.96,91790.61,249744.55,0,1
141585.52,93863.75,127320.38,249839.44,0,0
134307.35,91992.39,135495.07,252664.93,0,1
132602.65,119943.24,156547.42,256512.92,0,0
129917.04,114523.61,122616.84,261776.23,1,0
126992.93,78013.11,121597.55,264346.06,0,1
125370.37,94657.16,145077.58,282574.31,1,0
124266.9,91749.16,114175.79,294919.57,0,0
122776.86,86419.7,153514.11,0,1,0
118474.03,76253.86,113867.3,298664.47,0,1
111313.02,78389.47,153773.43,299737.29,1,0
110352.25,73994.56,122782.75,303319.26,0,0
108733.99,67532.53,105751.03,304768.73,0,0
108552.04,77044.01,99281.34,140574.81,1,0
107404.34,64664.71,139553.16,137962.62,0,1
105733.54,75328.87,144135.98,134050.07,0,0
105008.31,72107.6,127864.55,353183.81,1,0
103282.38,66051.52,182645.56,118148.2,0,0
101004.64,65605.48,153032.06,107138.38,1,0
99937.59,61994.48,115641.28,91131.24,0,0
97483.56,61136.38,152701.92,88218.23,1,0
97427.84,63408.86,129219.61,46085.25,0,1
96778.92,55493.95,103057.49,214634.81,0,0
96712.8,46426.07,157693.92,210797.67,0,1
96479.51,46014.02,85047.44,205517.64,1,0
90708.19,28663.76,127056.21,201126.82,0,0
89949.14,44069.95,51283.14,197029.42,0,1
81229.06,20229.59,65947.93,185265.1,1,0
81005.76,38558.51,82982.09,174999.3,0,1
78239.91,28754.33,118546.05,172795.67,0,1
77798.83,27892.92,84710.77,164470.71,0,0
71498.49,23640.93,96189.63,148001.11,0,1
69758.98,15505.73,127382.3,35534.17,1,0
65200.33,22177.74,154806.14,28334.72,0,1
64926.08,1000.23,124153.04,1903.93,1,0
49490.75,1315.46,115816.21,297114.46,0,0
42559.73,0,135426.92,0,0,1
35673.41,542.05,51743.15,0,1,0
14681.4,0,116983.8,45173.06,0,1
